Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_ID,Loan_Status
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3366,2200.0,135.0,360.0,1.0,LP001197,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,8080,2250.0,180.0,360.0,1.0,LP001198,Y
0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,3357,2859.0,144.0,360.0,1.0,LP001199,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2500,3796.0,120.0,360.0,1.0,LP001205,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,3029,0.0,99.0,360.0,1.0,LP001206,Y
0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,2609,3449.0,165.0,180.0,0.0,LP001207,N
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4166,0.0,116.0,360.0,0.0,LP001222,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,5726,4595.0,258.0,360.0,1.0,LP001225,N
0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,3200,2254.0,126.0,180.0,0.0,LP001228,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,10750,0.0,312.0,360.0,1.0,LP001233,Y
0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,7100,0.0,125.0,60.0,1.0,LP001238,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4300,0.0,136.0,360.0,0.0,LP001241,N
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,3208,3066.0,172.0,360.0,1.0,LP001243,Y
0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1875,1875.0,97.0,360.0,1.0,LP001245,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,3500,0.0,81.0,300.0,1.0,LP001248,Y
0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,5266,1774.0,187.0,360.0,1.0,LP001253,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3750,0.0,113.0,480.0,1.0,LP001255,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3750,4750.0,176.0,360.0,1.0,LP001256,N
0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1000,3022.0,110.0,360.0,1.0,LP001259,N
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,3167,4000.0,180.0,300.0,0.0,LP001263,N
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3846,0.0,111.0,360.0,1.0,LP001265,Y
1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1378,1881.0,167.0,360.0,1.0,LP001267,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,3988,0.0,50.0,240.0,1.0,LP001275,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2366,2531.0,136.0,360.0,1.0,LP001279,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2500,2118.0,104.0,360.0,1.0,LP001282,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,8566,0.0,210.0,360.0,1.0,LP001289,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,5695,4167.0,175.0,360.0,1.0,LP001310,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2958,2900.0,131.0,360.0,1.0,LP001316,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,6250,5654.0,188.0,180.0,1.0,LP001318,Y
0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,3273,1820.0,81.0,360.0,1.0,LP001319,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,4133,0.0,122.0,360.0,1.0,LP001322,Y
0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,3620,0.0,25.0,120.0,1.0,LP001325,Y
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,2484,2302.0,137.0,360.0,1.0,LP001327,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1977,997.0,50.0,360.0,1.0,LP001333,Y
0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,4188,0.0,115.0,180.0,1.0,LP001334,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1759,3541.0,131.0,360.0,1.0,LP001343,Y
0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,4288,3263.0,133.0,180.0,1.0,LP001345,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,4843,3806.0,151.0,360.0,1.0,LP001349,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,3052,1030.0,100.0,360.0,1.0,LP001367,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,11417,1126.0,225.0,360.0,1.0,LP001369,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3800,3600.0,216.0,360.0,0.0,LP001379,N
0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,2071,754.0,94.0,480.0,1.0,LP001384,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,5316,0.0,136.0,360.0,1.0,LP001385,Y
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,14583,0.0,185.0,180.0,1.0,LP001401,Y
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3167,2283.0,154.0,360.0,1.0,LP001404,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,5568,2142.0,175.0,360.0,1.0,LP001421,N
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,10408,0.0,259.0,360.0,1.0,LP001422,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4166,0.0,44.0,360.0,1.0,LP001430,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2137,8980.0,137.0,360.0,0.0,LP001431,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,2957,0.0,81.0,360.0,1.0,LP001432,Y
0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,4300,2014.0,194.0,360.0,1.0,LP001439,Y
0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,10513,3850.0,160.0,180.0,0.0,LP001451,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,2014,1929.0,74.0,360.0,1.0,LP001473,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2718,0.0,70.0,360.0,1.0,LP001478,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,3459,0.0,25.0,120.0,1.0,LP001482,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,4895,0.0,102.0,360.0,1.0,LP001487,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,4000,7750.0,290.0,360.0,1.0,LP001488,N
1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,4583,0.0,84.0,360.0,1.0,LP001489,N
0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,3316,3500.0,88.0,360.0,1.0,LP001491,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,14999,0.0,242.0,360.0,0.0,LP001492,N
0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,4200,1430.0,129.0,360.0,1.0,LP001493,N
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,5042,2083.0,185.0,360.0,1.0,LP001497,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,5417,0.0,168.0,360.0,1.0,LP001498,Y
0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,6950,0.0,175.0,180.0,1.0,LP001504,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2698,2034.0,122.0,360.0,1.0,LP001507,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,11757,0.0,187.0,180.0,1.0,LP001508,Y
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,2330,4486.0,100.0,360.0,1.0,LP001514,Y
1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,14866,0.0,70.0,360.0,1.0,LP001516,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1538,1425.0,30.0,360.0,1.0,LP001518,Y
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,10000,1666.0,225.0,360.0,1.0,LP001519,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4860,830.0,125.0,360.0,1.0,LP001520,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,6277,0.0,118.0,360.0,0.0,LP001528,N
0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,2577,3750.0,152.0,360.0,1.0,LP001529,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,9166,0.0,244.0,360.0,1.0,LP001531,N
0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,2281,0.0,113.0,360.0,1.0,LP001532,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3254,0.0,50.0,360.0,1.0,LP001535,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,39999,0.0,600.0,180.0,0.0,LP001536,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,9538,0.0,187.0,360.0,1.0,LP001543,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4583,5625.0,255.0,360.0,1.0,LP001552,Y
0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1863,1041.0,98.0,360.0,1.0,LP001560,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,7933,0.0,275.0,360.0,1.0,LP001562,N
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3089,1280.0,121.0,360.0,0.0,LP001565,N
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,4167,1447.0,158.0,360.0,1.0,LP001570,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,9323,0.0,75.0,180.0,1.0,LP001572,Y
1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,4583,0.0,112.0,360.0,1.0,LP001577,N
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,2439,3333.0,129.0,360.0,1.0,LP001578,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2237,0.0,63.0,480.0,0.0,LP001579,N
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,8000,0.0,200.0,360.0,1.0,LP001580,Y
0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,3522,0.0,81.0,180.0,1.0,LP001586,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,5708,5625.0,187.0,360.0,1.0,LP001594,Y
0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,4344,736.0,87.0,360.0,1.0,LP001603,N
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3497,1964.0,116.0,360.0,1.0,LP001606,Y
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,2045,1619.0,101.0,360.0,1.0,LP001608,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,5516,11300.0,495.0,360.0,0.0,LP001610,N
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3750,0.0,116.0,360.0,1.0,LP001616,Y
0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,2333,1451.0,102.0,480.0,0.0,LP001630,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,6400,7250.0,180.0,360.0,0.0,LP001633,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4600,0.0,73.0,180.0,1.0,LP001636,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,33846,0.0,260.0,360.0,1.0,LP001637,N
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3625,0.0,108.0,360.0,1.0,LP001639,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,39147,4750.0,120.0,360.0,1.0,LP001640,Y
0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,2178,0.0,66.0,300.0,0.0,LP001641,N
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,9328,0.0,188.0,180.0,1.0,LP001647,Y
0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,4885,0.0,48.0,360.0,1.0,LP001653,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,12000,0.0,164.0,360.0,1.0,LP001656,N
0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,6033,0.0,160.0,360.0,1.0,LP001657,N
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,3858,0.0,76.0,360.0,1.0,LP001658,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,4191,0.0,120.0,360.0,1.0,LP001664,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3125,2583.0,170.0,360.0,1.0,LP001665,N
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,8333,3750.0,187.0,360.0,1.0,LP001666,Y
0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,11000,0.0,83.0,360.0,1.0,LP001673,N
0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,2600,2500.0,90.0,360.0,1.0,LP001674,Y
0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,4923,0.0,166.0,360.0,0.0,LP001677,Y
0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,3500,1083.0,135.0,360.0,1.0,LP001688,Y
0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,3917,0.0,124.0,360.0,1.0,LP001691,Y
1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,4408,0.0,120.0,360.0,1.0,LP001692,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3244,0.0,80.0,360.0,1.0,LP001693,Y
0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,3975,2531.0,55.0,360.0,1.0,LP001698,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,2479,0.0,59.0,360.0,1.0,LP001699,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,3418,0.0,127.0,360.0,1.0,LP001702,N
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,10000,0.0,214.0,360.0,1.0,LP001708,N
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,3430,1250.0,128.0,360.0,0.0,LP001711,N
0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,7787,0.0,240.0,360.0,1.0,LP001713,Y
0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,5703,0.0,130.0,360.0,1.0,LP001715,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,3173,3021.0,137.0,360.0,1.0,LP001716,Y
0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,3850,983.0,100.0,360.0,1.0,LP001720,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,150,1800.0,135.0,360.0,1.0,LP001722,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3727,1775.0,131.0,360.0,1.0,LP001726,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2221,0.0,60.0,360.0,0.0,LP001736,N
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,4009,1717.0,116.0,360.0,1.0,LP001743,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2971,2791.0,144.0,360.0,1.0,LP001744,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,6250,0.0,128.0,360.0,1.0,LP001750,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3250,0.0,170.0,360.0,1.0,LP001751,N
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,6250,1695.0,210.0,360.0,1.0,LP001758,Y
0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,6400,0.0,200.0,360.0,1.0,LP001761,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2491,2054.0,104.0,360.0,1.0,LP001765,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,8333,0.0,280.0,360.0,1.0,LP001776,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3155,1779.0,140.0,360.0,1.0,LP001778,Y
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,5500,1260.0,170.0,360.0,1.0,LP001784,Y
1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,3812,0.0,112.0,360.0,1.0,LP001790,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3315,0.0,96.0,360.0,1.0,LP001792,Y
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,5819,5000.0,120.0,360.0,1.0,LP001798,Y
0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,2510,1983.0,140.0,180.0,1.0,LP001800,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,2965,5701.0,155.0,60.0,1.0,LP001806,Y
0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,6250,1300.0,108.0,360.0,1.0,LP001807,Y
0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,3406,4417.0,123.0,360.0,1.0,LP001811,Y
0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,6050,4333.0,120.0,180.0,1.0,LP001813,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,9703,0.0,112.0,360.0,1.0,LP001814,Y
0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,6608,0.0,137.0,180.0,1.0,LP001819,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2882,1843.0,123.0,480.0,1.0,LP001824,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1809,1868.0,90.0,360.0,1.0,LP001825,Y
0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1668,3890.0,201.0,360.0,0.0,LP001835,N
1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,3427,0.0,138.0,360.0,1.0,LP001836,N
0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,2583,2167.0,104.0,360.0,1.0,LP001841,Y
0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,2661,7101.0,279.0,180.0,1.0,LP001843,Y
0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,16250,0.0,192.0,360.0,0.0,LP001844,N
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,3083,0.0,255.0,360.0,1.0,LP001846,Y
0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,6045,0.0,115.0,360.0,0.0,LP001849,N
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,5250,0.0,94.0,360.0,1.0,LP001854,N
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,14683,2100.0,304.0,360.0,1.0,LP001859,N
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2060,2209.0,134.0,360.0,1.0,LP001868,Y
1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,3481,0.0,155.0,36.0,1.0,LP001870,N
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,7200,0.0,120.0,360.0,1.0,LP001871,Y
0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,5166,0.0,128.0,360.0,1.0,LP001872,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,4095,3447.0,151.0,360.0,1.0,LP001875,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,4708,1387.0,150.0,360.0,1.0,LP001877,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,4333,1811.0,160.0,360.0,0.0,LP001882,Y
1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,2876,1560.0,90.0,360.0,1.0,LP001884,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3237,0.0,30.0,360.0,1.0,LP001888,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,11146,0.0,136.0,360.0,1.0,LP001891,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,2833,1857.0,126.0,360.0,1.0,LP001892,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2620,2223.0,150.0,360.0,1.0,LP001894,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,3900,0.0,90.0,360.0,1.0,LP001896,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2750,1842.0,115.0,360.0,1.0,LP001900,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3993,3274.0,207.0,360.0,1.0,LP001903,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,3103,1300.0,80.0,360.0,1.0,LP001904,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,14583,0.0,436.0,360.0,1.0,LP001907,Y
0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,4053,2426.0,158.0,360.0,0.0,LP001910,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3927,800.0,112.0,360.0,1.0,LP001914,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,2301,985.7999877999998,78.0,180.0,1.0,LP001915,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1811,1666.0,54.0,360.0,1.0,LP001917,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,3158,3053.0,89.0,360.0,1.0,LP001924,Y
1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,2600,1717.0,99.0,300.0,1.0,LP001925,N
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3704,2000.0,120.0,360.0,1.0,LP001926,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4124,0.0,115.0,360.0,1.0,LP001931,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,9508,0.0,187.0,360.0,1.0,LP001935,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3075,2416.0,139.0,360.0,1.0,LP001936,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,4400,0.0,127.0,360.0,0.0,LP001938,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3153,1560.0,134.0,360.0,1.0,LP001940,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2383,3334.0,172.0,360.0,1.0,LP001947,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,6875,0.0,200.0,360.0,1.0,LP001953,Y
1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,4666,0.0,135.0,360.0,1.0,LP001954,Y
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,5000,2541.0,151.0,480.0,1.0,LP001955,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,2014,2925.0,113.0,360.0,1.0,LP001963,N
